id,street,zip,saledate,price,bedrooms,squarefeet,lotsize,yearbuilt,condolike,latitude,longitude
65083,1 Burnett Avenue,94131,2008-06-11,1470000,3,2424,NA,1983,0,37.7565117,-122.4469378
4893,1 Cielito Drive,94134,2009-06-12,385000,0,1304,2143,1945,0,37.710102,-122.421605
4959,1 Clarence Place #10,94107,2009-06-12,1043000,2,1400,NA,1997,1,37.779838,-122.392791
27880,1 Daniel Burnham Court #403,94109,2009-01-13,560000,2,1149,NA,1988,1,37.786958,-122.422532
78680,1 Daniel Burnham Court #519,94109,2008-03-12,419000,NA,NA,NA,1988,1,37.786958,-122.422532
17110,1 Federal Street #32,94107,2009-03-31,552000,NA,NA,NA,NA,1,37.784302,-122.390854
11363,1 Gilroy Street,94124,2009-05-08,228000,0,1060,2247,NA,0,37.716325,-122.388509
56564,1 Hidalgo Terrace,94103,2008-08-06,2200000,3,2873,3140,1919,0,37.76702,-122.42582
4964,1 Hill Point Avenue,94117,2009-06-12,1475000,0,1225,NA,1918,0,37.764499,-122.455882
30465,1 Prospect Avenue,94110,2008-12-23,565000,2,660,2365,1918,0,37.74553,-122.417117
37036,1 Reddy Street,94124,2008-11-14,520000,5,1699,2495,1950,0,37.730874,-122.394966
28980,1 Silverview Drive,94124,2009-01-02,363000,3,1594,2715,1986,0,37.734073,-122.395755
81063,1 South Park Avenue #101,94107,2008-02-25,745000,NA,NA,NA,NA,1,37.782053,-122.392835
78678,1 South Park Avenue #202,94107,2008-03-12,700000,NA,NA,NA,NA,1,37.782053,-122.392835
46524,1 South Park Avenue #211,94107,2008-09-26,303500,NA,NA,NA,NA,1,37.782053,-122.392835
59956,1 South Park Avenue #309,94107,2008-07-10,720000,2,1351,5227,NA,1,37.782053,-122.392835
11977,1 Southern Heights Avenue,94107,2009-05-06,920000,0,1612,1833,1957,0,37.757619,-122.40029
342,1 Wabash Terrace,94134,2009-07-09,431000,3,800,3724,NA,0,37.714152,-122.400404
57307,1 Wattson Place #10,94112,2008-07-31,449000,2,926,NA,2002,1,37.723694,-122.437006
33033,10 Athens Street,94112,2008-12-10,729000,0,1150,2522,1908,0,37.728121,-122.423875
42493,10 Carnelian Way,94131,2008-10-16,1135000,3,2124,NA,1979,0,37.7470703,-122.4422679
29525,10 Clearview Court,94124,2008-12-30,355000,2,1301,1937,1984,0,37.733375,-122.395375
33157,10 Coventry Court,94127,2008-12-09,785000,4,1487,3654,1959,0,37.735843,-122.452235
63916,10 Skyview Way,94131,2008-06-18,815000,NA,NA,NA,1956,0,37.749168,-122.450048
2886,100 Charter Oak Avenue,94124,2009-06-23,335000,0,1480,2500,1959,0,37.736607,-122.404091
73025,100 Chenery Street,94131,2008-04-23,681000,NA,NA,NA,1929,0,37.739678,-122.425819
4966,100 Commonwealth Avenue,94118,2009-06-12,1955000,5,3539,5225,NA,0,37.783693,-122.455539
29016,100 Gambier Street,94134,2008-12-31,485000,0,927,1751,1951,0,37.727884,-122.422516
65320,100 Orizaba Avenue,94132,2008-06-10,548000,2,1100,1792,1940,0,37.711535,-122.462343
57937,1000 Eucalyptus Drive,94132,2008-07-28,865000,3,1000,6534,1941,0,37.731203,-122.482773
38811,1001 Pine Street #1107,94109,2008-11-04,385000,0,450,NA,1963,1,37.790526,-122.412405
19088,1001 Pine Street #1308,94109,2009-03-18,350000,0,450,NA,1963,1,37.790526,-122.412405
65784,1001 Pine Street #212,94109,2008-06-06,400000,NA,NA,NA,1963,1,37.790348,-122.412568
44257,1001 Pine Street #302,94109,2008-10-07,565000,0,815,NA,1963,1,37.790348,-122.412568
24142,1001 Pine Street #304,94109,2009-02-11,415000,0,616,NA,1963,1,37.790348,-122.412568
42467,1001 Pine Street #402,94109,2008-10-16,525000,0,815,NA,1963,1,37.790348,-122.412568
20053,101 29th Street,94110,2009-03-12,675000,2,1412,NA,1996,0,37.743734,-122.42295
60140,101 Huntington Drive,94132,2008-07-09,875000,3,1471,5663,1953,0,37.731736,-122.495983
77929,101 Lombard Street #119E,94111,2008-03-19,701000,1,1056,NA,1983,1,37.803894,-122.404062
14718,101 Lombard Street #304E,94111,2009-04-16,759000,1,936,NA,1983,1,37.803895,-122.403484
75887,101 Lombard Street #405W,94111,2008-04-01,1190000,2,1392,NA,1983,1,37.803894,-122.404062
13405,101 Lombard Street #502W,94111,2009-04-28,830000,0,1443,NA,NA,1,37.803894,-122.404062
27016,101 Louisburg Street,94112,2009-01-21,630000,5,2636,2405,1908,0,37.7216874,-122.4493252
39764,101 States Street #2,94114,2008-10-31,840000,2,1124,1350,1977,1,37.763159,-122.43812
17123,101 Valdez Avenue,94112,2009-03-31,1160000,0,1559,4181,1922,0,37.730201,-122.455162
25235,1010 Harrison Street,94103,2009-02-02,845000,0,1438,NA,1996,0,37.7768943,-122.404598
35557,1011 Saddleback Drive,94134,2008-11-25,376000,3,1264,NA,1989,0,37.709021,-122.426702
36311,1013 Castro Street,94114,2008-11-20,1480000,4,1500,2622,1900,0,37.753529,-122.434126
77419,1015 South Van Ness Avenue,94110,2008-03-24,970000,NA,NA,NA,1900,0,37.756878,-122.416335
81068,102 Everson Street,94131,2008-02-25,705000,NA,NA,NA,1973,0,37.738444,-122.43153
39660,1020 Ulloa Street,94127,2008-10-31,1090000,0,2098,3227,1920,0,37.741516,-122.46694
2681,1021 Cole Street,94117,2009-06-24,1100000,0,2180,2609,1905,0,37.764611,-122.449902
58444,1021 Portola Drive,94127,2008-07-25,969000,4,1685,5662,1926,0,37.74145,-122.456414
71775,1024 Sanchez Street,94114,2008-04-30,991000,NA,NA,NA,1848,0,37.7527281,-122.429798
21704,1024 Washington Street,94108,2009-02-27,1060000,0,2720,1375,1927,0,37.794839,-122.41022
79831,1026 Folsom Street #7,94103,2008-03-03,525000,NA,NA,NA,2001,1,37.7780759,-122.4062044
32971,1027 Bosworth Street,94131,2008-12-10,600000,0,908,3000,1929,0,37.734065,-122.438117
71770,1027 Dolores Street,94110,2008-04-30,1085000,NA,NA,NA,1875,0,37.752991,-122.424852
62720,1028 Lombard Street,94109,2008-06-25,1795000,3,1028,NA,1915,0,37.80241,-122.418588
33527,1028 Prague Street,94112,2008-12-05,535000,0,1671,3136,1925,0,37.710308,-122.437355
4601,103 Seal Cove Terrace,94134,2009-06-16,540000,NA,NA,NA,NA,0,37.720119,-122.409424
32398,1032 Girard Street,94134,2008-12-12,450000,4,1300,2996,1946,0,37.719663,-122.40173
6658,1036 Potrero Avenue #5,94110,2009-06-03,479000,1,1081,NA,1987,1,37.755567,-122.406738
11577,1037 Church Street,94114,2009-05-08,2895000,0,3122,4874,1900,0,37.754309,-122.427316
42257,104 Chattanooga Street,94114,2008-10-17,1295000,3,1663,2700,1902,0,37.754746,-122.426876
44259,1040 Hyde Street #500,94109,2008-10-07,1867500,0,6301,3667,NA,1,37.790643,-122.417062
71772,1040 Persia Avenue,94112,2008-04-30,670000,1,875,2500,1911,0,37.718855,-122.427549
50507,1043 Treat Avenue,94110,2008-09-05,1350000,0,4320,3672,1919,0,37.753463,-122.412757
41787,1044 Goettingen Street,94134,2008-10-21,449000,0,830,2996,1954,0,37.719015,-122.403645
259,1045 Balboa Street,94118,2009-07-10,1050000,5,2494,2375,NA,0,37.776818,-122.469844
71360,1045 Filbert Street,94133,2008-05-01,1160000,NA,NA,NA,1910,0,37.800173,-122.416652
69812,1045 Mason Street #301,94108,2008-05-13,1460000,NA,NA,NA,1993,1,37.793232,-122.411466
69813,1045 Mason Street #502,94108,2008-05-13,2655000,NA,NA,NA,1993,1,37.793232,-122.411466
69207,1047 Filbert Street,94133,2008-05-16,1130000,NA,NA,NA,1910,0,37.8004499,-122.4167591
41778,1049 Broderick Street,94115,2008-10-21,1635000,0,2140,2748,1906,0,37.780057,-122.440827
10872,105 Seal Cove Terrace,94134,2009-05-13,540000,NA,NA,NA,NA,0,37.7202042,-122.4099154
17670,1051 Portola Drive,94127,2009-03-27,640000,0,1375,2996,1926,0,37.740933,-122.457526
28755,1053 Shrader Street,94117,2009-01-06,1300000,0,1670,2495,1906,0,37.764842,-122.451526
68400,1057 Mississippi Street,94107,2008-05-22,859000,NA,NA,NA,NA,0,37.753061,-122.393363
74697,106 Baden Street,94131,2008-04-11,755000,NA,NA,NA,1939,0,37.730925,-122.439505
24524,106 Sweeny Street,94134,2009-02-06,721000,0,1720,1873,1966,0,37.733232,-122.407698
59250,1060 Divisadero Street,94115,2008-07-22,800000,3,1007,4792,1900,0,37.779288,-122.438489
44254,1065 Natoma Street,94103,2008-10-07,759000,3,1901,NA,1906,0,37.772661,-122.416842
21670,1068 Silver Avenue,94134,2009-02-27,572000,0,1325,2143,1930,0,37.729169,-122.414684
80898,107 Caselli Avenue,94114,2008-02-26,810000,NA,NA,NA,1927,0,37.7596961,-122.441207
31934,107 Russia Avenue,94112,2008-12-16,1100000,6,3720,2500,1993,0,37.721224,-122.435879
9783,107 Santa Rosa Avenue,94112,2009-05-19,610000,2,1125,2056,1939,0,37.726728,-122.436304
65792,107 Steiner Street,94117,2008-06-06,2300000,10,6600,2738,1905,0,37.770072,-122.432
65322,1070 Green Street #902,94133,2008-06-10,1910000,NA,NA,NA,1961,1,37.798791,-122.416797
47196,1071 Mississippi Street,94100,2008-09-24,399000,NA,NA,NA,NA,0,37.7529879,-122.393649
11586,1074 Silver Avenue,94134,2009-05-08,400000,0,675,2178,1908,0,37.729192,-122.414603
16336,1080 Bowdoin Street,94134,2009-04-06,352000,3,756,1751,1950,0,37.722496,-122.409311
56424,1080 Page Street #1,94117,2008-08-07,685000,0,791,NA,1979,1,37.772275,-122.438618
61317,1081 Church Street,94114,2008-07-01,1325000,3,1671,6240,1906,0,37.753633,-122.427351
22305,1089 Key Avenue,94124,2009-02-25,375000,0,1318,2844,1956,0,37.719679,-122.397907
57356,109 19th Avenue,94121,2008-07-31,859000,NA,NA,NA,1921,0,37.785703,-122.478858
44731,109 Bartlett Street,94110,2008-10-03,430000,1,583,NA,NA,0,37.755007,-122.419764
431,109 Germania Street,94117,2009-07-08,620000,0,2050,1300,1900,0,37.770549,-122.430414
80153,1095 Rhode Island Street,94107,2008-02-29,850000,NA,NA,NA,1917,0,37.75591,-122.401408
3832,1097 Green Street #9,94133,2009-06-18,640000,1,998,9831,1910,1,37.798377,-122.416999
54630,1097 Howard Street #209,94103,2008-08-18,625000,0,1408,11695,1998,1,37.778122,-122.409014
57352,1099 23rd Street #21,94107,2008-07-31,749000,NA,NA,NA,2000,1,37.755191,-122.390821
73511,11 Beaver Street,94114,2008-04-18,1100500,2,1200,NA,1900,0,37.764782,-122.433808
74390,11 College Terrace,94112,2008-04-14,809000,3,1655,1716,1913,0,37.73451,-122.42634
57775,11 High Street #104,94114,2008-07-29,690000,NA,NA,NA,1980,1,37.74855,-122.443348
63913,11 Los Palmos Drive,94127,2008-06-18,738000,2,1157,3449,1953,0,37.734443,-122.446095
45759,11 Modoc Avenue,94112,2008-09-30,590000,0,1286,1750,1945,0,37.714837,-122.449115
54926,11 Youngs Court,94124,2008-08-15,435000,3,1570,NA,1986,0,37.736458,-122.386078
24305,110 Head Street,94112,2009-02-10,290000,NA,NA,NA,NA,0,37.7091871,-122.4643501
69205,110 Moreland Street,94131,2008-05-16,775000,NA,NA,NA,1966,0,37.739614,-122.43451
421,1101 Green Street #1003,94109,2009-07-08,811000,1,919,NA,1930,1,37.798345,-122.417381
9780,1101 Green Street #2001,94109,2009-05-19,2935000,2,1693,NA,1930,1,37.798345,-122.417381
40037,1104 Treat Avenue,94110,2008-10-30,650000,0,1537,2809,1902,0,37.752338,-122.413136
29345,1106 Fulton Street,94117,2008-12-30,760000,1,1249,NA,1900,0,37.777456,-122.435424
29015,1107 Gilman Avenue,94124,2008-12-31,245000,2,896,2495,1912,0,37.719203,-122.390387
50512,1107 Ocean Avenue,94112,2008-09-05,850000,0,2808,3990,1926,0,37.723257,-122.454387
32477,1109 Broderick Street,94115,2008-12-12,880000,0,2600,1516,1906,0,37.7805249,-122.4406638
65490,111 17th Avenue,94121,2008-06-09,2450000,NA,NA,NA,1911,0,37.785826,-122.476723
62724,111 Chestnut Street #312,94111,2008-06-25,515000,NA,NA,NA,1993,1,37.804678,-122.4059574
15683,111 Gilbert Street #1,94103,2009-04-09,701000,0,1473,NA,1996,1,37.77347,-122.402457
39489,1110 Rhode Island Street,94107,2008-10-31,700000,NA,NA,NA,NA,0,37.755737,-122.401908
68942,1111 Bay Street #404,94123,2008-05-20,817500,2,1225,NA,1986,1,37.803838,-122.425482
28492,1111 Dolores Street,94110,2009-01-08,1072500,0,1671,1624,1956,0,37.751535,-122.424827
29007,1112 Lombard Street,94109,2008-12-31,3060000,0,2348,5497,1940,0,37.80221,-122.42019
16961,1117 Alabama Street #A,94110,2009-03-31,649000,0,983,NA,1900,1,37.75392,-122.410884
62721,1118 Broadway,94109,2008-06-25,995000,NA,NA,NA,1908,0,37.796946,-122.415618
43242,112 Dorchester Way,94127,2008-10-14,890000,3,1520,3659,1920,0,37.741113,-122.46272
2443,112 Lyon Street,94117,2009-06-25,700000,0,2546,2413,1900,0,37.771736,-122.442073
7959,1120 Diamond Street,94114,2009-05-28,851000,0,1185,1838,1909,0,37.748544,-122.436214
36634,1120 Elm Street,94115,2008-11-18,500000,0,850,NA,1890,0,37.779715,-122.435797
56016,1121 Key Avenue,94124,2008-08-08,400000,0,1207,5000,1914,0,37.720139,-122.39871
78608,1123 Lincoln Way,94122,2008-03-13,766000,NA,NA,NA,NA,0,37.7657074,-122.4701304
69245,1124 Stanyan Street,94117,2008-05-16,1280000,NA,NA,NA,1904,0,37.763959,-122.452148
62722,1125 Francisco Street #2,94109,2008-06-25,890000,2,1208,NA,1921,1,37.803055,-122.423908
21812,1125 Hayes Street,94117,2009-02-27,2260000,4,3260,5218,1930,0,37.775068,-122.434959
55199,1125 Holloway Avenue,94132,2008-08-14,910000,0,1877,5750,1938,0,37.721425,-122.466811
1302,113 Knockash Hill,94127,2009-07-01,1289000,5,3569,2624,1995,0,37.74204,-122.457346
36229,1130 Fitzgerald Avenue,94124,2008-11-20,390000,0,1387,2495,1964,0,37.720393,-122.390003
26895,1135 Fitzgerald Avenue,94124,2009-01-22,390000,0,1105,2495,1950,0,37.720109,-122.390316
42254,1135 Francisco Street #5,94109,2008-10-17,862500,2,1053,NA,1921,1,37.8033306,-122.4240534
